"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5003","RT @pbhushan1: YesBank's huge loans were to Cos that had already gamed the PSU banking system&amp;run up a massive debt which they were struggl…",FALSE,0,NA,2020-03-07 15:01:39,FALSE,NA,"1236306022223859712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","appu99430",337,TRUE,FALSE,NA,NA
"5004","YES Bank Crisis Update: SBI to own 245 cr shares worth Rs 2,450 cr in the private lender 

@YESBANK @TheOfficialSBI… https://t.co/WFIkdV8VCa",FALSE,1,NA,2020-03-07 15:01:39,TRUE,NA,"1236306021129179138",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fpjindia",0,FALSE,FALSE,NA,NA
"5005","""If today, the bank has to be closed down due to mismanagement, the RBI cannot extricate itself from the responsibi… https://t.co/DcwN4cwTre",FALSE,0,NA,2020-03-07 15:01:37,TRUE,NA,"1236306013784948736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anjan22",0,FALSE,FALSE,NA,NA
"5006","Cronies of the Government like @AmbaniHu and #SubhashChandra of @ZeeNews @ZeeNewsHindi helped bringing @YESBANK… https://t.co/hU70rV1MpR",FALSE,0,NA,2020-03-07 15:01:32,TRUE,NA,"1236305992427515904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HomoRational",0,FALSE,FALSE,NA,NA
"5007","RT @vinodkapri: Friends of Modi on #YesBank list https://t.co/pRcEgzq9oW",FALSE,0,NA,2020-03-07 15:01:29,FALSE,NA,"1236305979764961281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajeshsingla83",42,TRUE,FALSE,NA,NA
"5008","RT @sanjeev_goyal: Adani Closed his accounts with YES bank last month.
Gujrat Govt bodies took out thier money from #YesBank just 2 days ag…",FALSE,0,NA,2020-03-07 15:01:26,FALSE,NA,"1236305965974085634",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sportabusrr",1328,TRUE,FALSE,NA,NA
"5009","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 15:01:21,FALSE,NA,"1236305946936131586",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ruhel_k",1752,TRUE,FALSE,NA,NA
"5010","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 15:01:15,FALSE,NA,"1236305921103577088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilyasmd7",1752,TRUE,FALSE,NA,NA
"5011","RT @iam_anandv: For those of you wondering, why the #Yesbank moratorium has messed up fintech's and their clients - a short thread: 

1. Ye…",FALSE,0,NA,2020-03-07 15:01:14,FALSE,NA,"1236305914820321280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siddharthgpf",163,TRUE,FALSE,NA,NA
"5012","RT @sujitnair90: #PMCBank , #YesBank...Who Next?
https://t.co/NtuIWXbtKG",FALSE,0,NA,2020-03-07 15:01:14,FALSE,NA,"1236305914786754561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Karupp1818",19,TRUE,FALSE,NA,NA
